"Subject","Target.RT.notono_invalida_congruent","Target.RT.notono_invalida_incongruent","Target.RT.notono_nocue_congruent","Target.RT.notono_nocue_incongruent","Target.RT.notono_valida_congruent","Target.RT.notono_valida_incongruent","Target.RT.tono_invalida_congruent","Target.RT.tono_invalida_incongruent","Target.RT.tono_nocue_congruent","Target.RT.tono_nocue_incongruent","Target.RT.tono_valida_congruent","Target.RT.tono_valida_incongruent","notono_RT","tono_RT","invalid_RT","nocue_RT","valid_RT","congruent_RT","incongruent_RT"
180,651.363636363636,639.478260869565,615.833333333333,599.166666666667,585.565217391304,585.782608695652,627.652173913043,684.173913043478,579.791666666667,603.04347826087,559.782608695652,613.739130434783,612.510791366906,611.136690647482,650.659340659341,599.421052631579,586.217391304348,602.906474820144,620.741007194245
181,486.681818181818,515.04347826087,529.391304347826,513.217391304348,463.090909090909,475.565217391304,432.666666666667,546.7,496.375,485.952380952381,426.166666666667,447.521739130435,497.492647058824,471.12030075188,495.03488372093,506.571428571429,452.684782608696,472.779411764706,496.390977443609
182,580.958333333333,709,578.608695652174,607.958333333333,487.916666666667,630.954545454545,537.695652173913,599.458333333333,599.260869565217,617.739130434783,526.166666666667,585.375,598.142857142857,577.460992907801,606.425531914894,600.967741935484,556.042553191489,551.340425531915,624.45
184,787.684210526316,724.739130434783,748.727272727273,722.791666666667,701.318181818182,750.086956521739,678.25,817.913043478261,700.04347826087,711.363636363636,624.25,641.5,737.857142857143,694.421428571429,749.719101123595,720.549450549451,678.05376344086,703.194029850746,727.525179856115
185,679.714285714286,621.958333333333,739.5,675.086956521739,630.541666666667,633.727272727273,702.791666666667,671.130434782609,663.652173913043,623.666666666667,645.428571428571,716.217391304348,663.413043478261,670.739130434783,668.521739130435,675.606382978723,656.688888888889,677.664233576642,656.640287769784
186,541,628.173913043478,650.318181818182,580.913043478261,538.136363636364,521.227272727273,584.590909090909,668.714285714286,560.791666666667,665.695652173913,504.458333333333,544.041666666667,577.315789473684,585.782608695652,605.896551724138,613.45652173913,526.847826086957,562.474074074074,600.639705882353
187,481.47619047619,483.142857142857,486.875,474.272727272727,449.416666666667,472.541666666667,450.047619047619,505.888888888889,409.913043478261,463.05,418.263157894737,455.190476190476,474.286764705882,448.786885245902,479.185185185185,458.516853932584,450.375,450.060606060606,474.97619047619
188,677.052631578947,753.727272727273,669.714285714286,744.652173913043,707.45,733.1,668.772727272727,706.913043478261,703.608695652174,687.090909090909,631.521739130435,658.952380952381,715.584,676.373134328358,702.53488372093,702.134831460674,680.642857142857,675.765625,714.381679389313
189,598.428571428571,773.045454545455,714,658.5,594.6,589.666666666667,618.1,700.52380952381,579.944444444444,683.826086956522,592.45,639.652173913043,656.59375,638.408,674.369047619048,663.082352941177,605.190476190476,618.322314049587,674.454545454545
190,618.208333333333,624.291666666667,615.208333333333,674.541666666667,591.791666666667,616.695652173913,584.695652173913,631.545454545455,579.833333333333,645.791666666667,603.227272727273,642.458333333333,623.503496503497,614.726618705036,614.645161290323,628.84375,613.731182795699,598.86524822695,639.489361702128
191,484.583333333333,522.260869565217,493.5,514.291666666667,460.583333333333,509.954545454545,446.75,597.217391304348,458.083333333333,504.75,451.333333333333,485.083333333333,497.177304964539,489.79020979021,511.702127659574,492.65625,476.031914893617,465.805555555556,521.9
192,739.85,811.142857142857,824.368421052632,854.04347826087,795.8,844.1,829.35,801.636363636364,834.684210526316,856,804.857142857143,743.157894736842,812.479674796748,811.768595041322,795.831325301205,843.024691358025,797.75,804.403361344538,819.48
193,731.363636363636,875.45,866.478260869565,869.5,784.04347826087,885.625,787.217391304348,840.619047619048,809.083333333333,829.454545454545,757.739130434783,800.809523809524,831.620967741935,803.507462686567,806.488372093023,842.52808988764,800.578313253012,789.884057971014,848.225
194,636.6,692.764705882353,707.478260869565,720.608695652174,671.45,708.789473684211,601.583333333333,654.136363636364,567.619047619048,628.8,601.761904761905,612.130434782609,690.581967213115,611,642.626506024096,659.103448275862,645.927710843373,631.22480620155,668.258064516129
195,518.619047619048,567.238095238095,547.136363636364,563.590909090909,537.777777777778,584.863636363636,559.714285714286,594.583333333333,468.958333333333,567.260869565217,515.217391304348,569.761904761905,553.857142857143,545.154411764706,561.229885057471,535.582417582418,551.928571428571,523,574.887218045113
196,735.478260869565,760.260869565217,775.590909090909,738.217391304348,770.916666666667,794.571428571429,777.260869565217,768.681818181818,774.952380952381,719.5,716.782608695652,738.818181818182,762,749.105263157895,760.32967032967,751.647727272727,754.755555555556,758.220588235294,752.96992481203
197,499.291666666667,547.217391304348,532.375,569.458333333333,481.333333333333,518.652173913043,479.083333333333,545.173913043478,473.04347826087,512.5,451.818181818182,529.375,524.605633802817,499.014285714286,517.085106382979,522.357894736842,495.978494623656,486.737588652482,537.063829787234
