"Subject","EV_Hits_B1","EV_Hits_B2","EV_Hits_B3","EV_Hits_B4","EV_Hits_B5","EV_Hits_B6","EV_FA_B1","EV_FA_B2","EV_FA_B3","EV_FA_B4","EV_FA_B5","EV_FA_B6","EV_Ap_B1","EV_Ap_B2","EV_Ap_B3","EV_Ap_B4","EV_Ap_B5","EV_Ap_B6","EV_Bp_B1","EV_Bp_B2","EV_Bp_B3","EV_Bp_B4","EV_Bp_B5","EV_Bp_B6"
146,50,62.5,68.75,37.5,62.5,62.5,4.34782608695652,3.57142857142857,0,0,0,0,0.847579051383399,0.888492063492063,0.921875,0.84375,0.90625,0.90625,0.714748784440843,0.743772241992883,1,1,1,1
147,56.25,68.75,62.5,68.75,56.25,43.75,31.25,0,4.76190476190476,0,0,13.0434782608696,0.702020202020202,0.921875,0.882514880952381,0.921875,0.890625,0.763747088509317,0.0677966101694915,1,0.675744141861938,1,1,0.369030747427445
148,62.5,75,100,87.5,81.25,75,5.26315789473684,4.76190476190476,5.55555555555556,0,0,5.26315789473684,0.879989035087719,0.918501984126984,0.986111111111111,0.96875,0.953125,0.916483918128655,0.649154865235267,0.610468654899574,-1,1,1,0.579868708971554
149,62.5,81.25,81.25,68.75,75,62.5,4.76190476190476,0,0,0,0,0,0.882514880952381,0.953125,0.953125,0.921875,0.9375,0.90625,0.675744141861938,1,1,1,1,1
150,43.75,56.25,43.75,12.5,37.5,31.25,5.55555555555556,4.76190476190476,0,4.34782608695652,0,23.5294117647059,0.819356909430439,0.863992228835979,0.859375,0.684350296442688,0.84375,0.587005090497738,0.648522048134389,0.688782177916907,1,0.449031500684797,1,0.0884377032903072
151,50,75,62.5,81.25,37.5,81.25,0,0,20,0,0,0,0.875,0.9375,0.8028125,0.953125,0.84375,0.953125,1,1,0.188589540412044,1,1,1
152,62.5,75,87.5,56.25,75,75,0,15,15.7894736842105,0,0,16,0.90625,0.876470588235294,0.917777843045113,0.890625,0.9375,0.872261904761905,1,0.19047619047619,-0.0973388105018753,1,1,0.164958061509786
153,50,81.25,75,68.75,62.5,56.25,12.5,5.55555555555556,9.52380952380952,4.76190476190476,5.26315789473684,5.88235294117647,0.794642857142857,0.933273629964806,0.899175020885547,0.900652732683983,0.879989035087719,0.857645271650327,0.391304347826087,0.487638332940899,0.37027446918695,0.651404255319149,0.649154865235267,0.632695153118415
154,75,56.25,87.5,68.75,43.75,31.25,5.55555555555556,0,0,4.34782608695652,9.09090909090909,4.76190476190476,0.915305010893246,0.890625,0.96875,0.902513586956522,0.793364448051948,0.781436011904762,0.562700964630225,1,1,0.675641431738993,0.497201217715801,0.651404255319149
155,43.75,62.5,75,50,62.5,68.75,5.88235294117647,8.33333333333333,6.25,0,0,13.3333333333333,0.816972492121849,0.864393939393939,0.9125,0.875,0.90625,0.861370920745921,0.632695153118415,0.508379888268156,0.523809523809524,1,1,0.300509694708633
156,93.75,81.25,81.25,68.75,87.5,43.75,0,5.26315789473684,0,3.44827586206897,4.34782608695652,9.09090909090909,0.984375,0.934326501349528,0.953125,0.906545636475593,0.954907185206098,0.793364448051948,1,0.506822925028094,1,0.731651161484754,0.449031500684797,0.497201217715801
157,87.5,81.25,81.25,100,62.5,81.25,0,5.88235294117647,0,9.52380952380952,5.88235294117647,0,0.96875,0.932095764988688,0.953125,0.976190476190476,0.876861213235294,0.953125,1,0.466909611505174,1,-1,0.61783914909498,1
158,93.75,75,93.75,87.5,68.75,75,28.5714285714286,10,0,5.26315789473684,0,0,0.901934523809524,0.897222222222222,0.984375,0.951976294903927,0.921875,0.9375,-0.553869499241275,0.351351351351351,1,0.373742864908943,1,1
159,100,93.75,87.5,81.25,75,75,15,0,5.26315789473684,0,4.54545454545455,5,0.9625,0.984375,0.951976294903927,0.953125,0.919372294372294,0.917543859649123,-1,1,0.373742864908943,1,0.624161073825503,0.595744680851064
160,81.25,56.25,37.5,75,56.25,56.25,10.5263157894737,4.34782608695652,4.16666666666667,0,11.7647058823529,0,0.915221630150036,0.866329737593325,0.809178743961353,0.9375,0.82375408496732,0.890625,0.235921520431901,0.710875535819708,0.708860759493671,1,0.406651987484065,1
161,87.5,87.5,81.25,75,62.5,43.75,0,0,0,5.26315789473684,0,6.66666666666667,0.96875,0.96875,0.953125,0.916483918128655,0.90625,0.811235119047619,1,1,1,0.579868708971554,1,0.596373669688608
162,68.75,81.25,93.75,87.5,68.75,81.25,13.0434782608696,14.2857142857143,8.33333333333333,9.52380952380952,0,0,0.862725419960474,0.901356456043956,0.960732323232323,0.938249641962048,0.921875,0.953125,0.308964121021257,0.108790252393386,-0.131832797427653,0.118680920456605,1,1
163,81.25,81.25,87.5,81.25,93.75,75,36.8421052631579,35,21.0526315789474,20,13.0434782608696,21.0526315789474,0.81242092611336,0.820192307692308,0.900266290726817,0.879867788461538,0.947248641304348,0.850657894736842,-0.208667060112975,-0.197860962566845,-0.206219569656039,-0.0245122561280641,-0.31873792659369,0.0602055800293686
164,68.75,87.5,93.75,93.75,75,93.75,6.25,22.2222222222222,0,13.0434782608696,16.6666666666667,4.34782608695652,0.893939393939394,0.896329365079365,0.984375,0.947248641304348,0.869444444444444,0.972070569828722,0.571428571428571,-0.22488038277512,1,-0.31873792659369,0.148936170212766,0.16975012898946
