"Subject","AV_Mean_B1","AV_Mean_B2","AV_Mean_B3","AV_Mean_B4","AV_Mean_B5","AV_Mean_B6","AV_SD_B1","AV_SD_B2","AV_SD_B3","AV_SD_B4","AV_SD_B5","AV_SD_B6","AV_Lapses_B1","AV_Lapses_B2","AV_Lapses_B3","AV_Lapses_B4","AV_Lapses_B5","AV_Lapses_B6"
151,470.3125,484.5625,472.6875,467.25,477.25,524.25,45.8093422058572,33.5558613856556,25.0458745771301,26.2055973664661,69.5140273613894,90.7167753689103,0.0625,0,0,0,0.125,0.1875
152,447.5,436.8125,452.5625,445.5,437.5,438.625,42.3666535536303,41.8588401654895,32.3995241734607,76.3605482781085,51.4703798315109,35.6218565864648,0,0,0,0.0625,0,0
153,433.25,530.875,545.875,534.375,565.875,534.625,69.520740310596,69.3598106494916,73.1727408260754,67.6804994071409,85.8563723125236,85.4375990611472,0,0.0625,0.25,0.0625,0.25,0.0625
154,507.1875,469,517.125,576.875,498.5625,535.1875,50.9329215733792,29.879759035173,56.135401782951,135.292707366904,83.8824326065953,73.3723097178584,0.0625,0,0.0625,0.3125,0.0625,0.125
155,487.9375,497.125,493.25,479.8125,574.625,553.6875,59.4154511329615,47.1718489497002,71.6263452462384,50.1812963164564,114.075925009034,55.6773068673405,0.125,0,0.125,0,0.4375,0.25
156,496.625,528.1875,553.5,575.875,465.75,522.9375,74.58138731167,62.5962924887196,133.597405164422,211.896476296013,143.981248779138,72.6869715515328,0.0625,0.125,0.1875,0.3125,0.125,0.0625
157,500.6875,487.9375,495.3125,474.1875,497.5625,473.6875,60.6176198257019,44.5847040287735,63.8724966893681,62.1377166729945,48.1594141021947,45.3294881947723,0.0625,0.0625,0.0625,0.0625,0,0
158,501.6875,523.3125,553.5625,545.6875,524.5,565.5625,72.3433652797546,78.4862779938846,83.6277216796759,70.0644643643742,70.3173757568734,126.519020309201,0.0625,0.125,0.25,0.125,0.125,0.25
159,525,519.875,393.8125,498.625,513.625,571.8125,83.5639475691122,70.4290423050037,208.748083823541,81.3059038446778,103.5985038502,271.752882536077,0.125,0.1875,0.3125,0.125,0.0625,0.3125
160,496.375,597.5,529.5625,578.0625,587.4375,513.6875,44.7137189983865,273.646487278752,81.1943912266523,335.648321660236,135.600869589149,223.865054217937,0,0.1875,0.125,0.0625,0.25,0.25
161,691.6875,564.6875,639.875,581.1875,615.125,637.625,304.545720431815,79.3008774646704,126.591666392381,227.525593798441,73.050553271918,203.866582188777,0.375,0.25,0.4375,0.5625,0.5625,0.5
162,471.4375,466.375,449.1875,421.9375,436.625,405.3125,41.3778825783373,45.4677541414426,29.8534615525012,47.0750730217171,45.8837298687309,50.2204722531891,0,0,0,0,0,0
163,367.75,380,370.125,433.6875,355.4375,363.4375,79.8252257539349,78.1272466343635,72.1062872894359,47.3310592176709,74.091806789505,74.7181091391728,0,0,0,0,0,0
164,458.5,502.25,463.5625,505,460.5625,476.5625,40.3319558993445,80.2250999791628,26.4120395526989,131.491444588612,46.6204086211179,47.46783999018,0,0.0625,0,0.125,0,0
166,559.125,484.125,664.0625,655.625,611.75,630.1875,71.8914691276603,276.882616524283,141.687670011661,243.35265904992,298.843214188756,290.057286008586,0.1875,0.375,0.5625,0.6875,0.6875,0.8125
167,502.875,513.75,483.4375,440.25,498,530.5,93.7904579368285,56.9227546768425,334.155845626957,176.33509765973,245.290575984212,221.87413849598,0.125,0.125,0.3125,0.125,0.3125,0.25
168,454.75,432.4375,427.25,454.4375,447,446.125,71.747241526533,48.4478671701173,54.6949114025549,35.4738753638975,47.0772414938117,95.5509462712606,0,0,0,0,0,0.0625
169,453.5625,438.8125,457,456.375,466.25,449.5625,46.359420114291,50.6994000621967,62.7949042518579,95.7001393241758,67.2829844760174,61.0442121198508,0,0,0.0625,0.125,0,0.0625
170,466.5,461.3125,498.25,475.625,507.1875,510.0625,29.7814259788435,26.469400572485,36.4974884980688,41.9648662573825,68.6811170070299,58.0097333786897,0,0,0,0,0.0625,0.0625
171,556.25,541.5,532.3125,517.0625,525.5,525.8125,30.8836526337155,59.1427651253022,70.6122923670754,44.875336581839,48.0055552340907,43.7160820903856,0.0625,0.1875,0.0625,0.0625,0.0625,0
172,509.5625,505.125,489.8125,582.9375,519.5625,536.25,89.7477715600783,77.1084733778764,61.5924440712225,148.005166013442,82.2743125161189,74.02747237794,0.0625,0.0625,0.0625,0.375,0.125,0.25
173,447,454,468.5625,440,446.625,452.4375,30.3951750557003,30.1905062340244,52.9389192056909,51.4820357017863,35.7059752235766,37.6899080214673,0,0,0,0,0,0
174,467.0625,451.25,454.9375,469.1875,527.625,456.875,34.8606153129861,44.8055056140798,25.3126286004964,48.3490348059469,134.501486980628,40.902933880102,0,0,0,0,0.1875,0
175,510.8125,518.3125,564,527.8125,575.5625,522.8125,84.314663611972,37.1245089754284,113.063404040978,60.2209473522295,92.1194650078545,102.793786290807,0.125,0.0625,0.1875,0.125,0.3125,0.0625
176,489.625,499.8125,478.4375,519.4375,510.1875,490.9375,33.8385874409675,56.7817092028762,67.0322994284596,47.1733946909343,46.1666817087821,52.9974449069638,0,0.0625,0.0625,0.0625,0,0.0625
177,475.1875,500.125,560.6875,521.4375,590.0625,541.5625,56.9634019934437,30.0308175046901,106.849251284228,81.5752975272948,133.040579648968,102.55923085385,0.0625,0,0.3125,0.125,0.3125,0.3125
178,519.6875,532.125,568.125,555.4375,575.0625,548,53.0731806094189,44.2551315291986,109.153637899369,56.6332867372773,79.4073621691759,52.6371225150717,0.0625,0.0625,0.1875,0.25,0.3125,0.125
179,591.25,680.75,591.5625,553.3125,637.6875,729.9375,195.559539100841,218.845607678107,204.735917301614,86.131464440509,200.452727178588,168.547310371104,0.5625,0.625,0.4375,0.25,0.75,0.6875
180,427.375,445.375,451.4375,415.1875,441.875,427.4375,37.2413300872387,69.5642388971038,87.4474842405429,35.7346120728909,113.236551813744,110.502469806486,0,0.0625,0.0625,0,0.125,0.125
181,456.5625,472.25,475.375,467.5,491.5,479.875,25.4871699749763,35.7052750537881,30.4518746002059,26.5204323745548,36.6751505336606,49.4123803649787,0,0,0,0,0.0625,0
182,495.3125,519.5625,550.125,556.625,543.6875,488.3125,61.058134866153,128.534803976718,76.4721082051053,133.151480151993,98.7074591912891,62.5286267773943,0.0625,0.1875,0.3125,0.1875,0.125,0.0625
184,545.5,539.75,524.3125,509.625,563.75,542.875,77.7225835906141,76.8448653673967,83.4759196814666,108.967196898883,62.5017333092984,79.5142544872721,0.25,0.1875,0.125,0.0625,0.375,0.1875
185,538.25,542.3125,551.6875,550.1875,532.375,516,33.2054212441282,31.2403985249868,42.9693204507588,62.8821318022855,156.197684575242,44.0484581644655,0,0.0625,0.0625,0.125,0.3125,0
186,444.9375,489,472.375,567,575.8125,506.375,46.3083415811882,62.8246236226954,106.868065077147,161.857550539561,211.400478949316,44.7152099402429,0,0.0625,0.0625,0.1875,0.1875,0
187,498.5625,471.3125,508.125,454.5,479.8125,481.5,112.560483740965,64.3953608577512,59.7749947720617,46.5775339264185,60.5807656493929,32.5105111207642,0.0625,0,0.0625,0,0.0625,0
188,513.9375,504.625,521,587.6875,534.875,534.75,73.8597488487471,42.064830916099,80.5431561338392,100.788702243853,78.8474265063018,219.953783024222,0.125,0.0625,0.0625,0.375,0.25,0.3125
189,432.875,421.25,444.3125,454.5,447.5625,467.875,63.0807683318247,68.3330081293075,36.7073448599414,62.5768860416262,46.8401092369919,70.2622468565682,0,0,0,0,0,0.0625
190,417.9375,422.375,432.8125,433.875,415.125,426.25,35.7164177935022,38.3281880604862,36.0503698547833,41.2874072811554,31.4088628680929,29.2722849580737,0,0,0,0,0,0
191,433.8125,453.625,448.75,463.75,464.875,515.3125,73.7565533811516,73.6250636672051,66.6578327480474,78.8724709050418,70.528363088902,96.4943651204566,0.0625,0.0625,0.0625,0.125,0.0625,0.25
192,636.625,546.375,590,575.3125,617.4375,610.8125,125.897775993065,148.498653192546,101.771639795508,141.726364872595,72.5304246506251,109.274711164112,0.625,0.375,0.3125,0.3125,0.625,0.3125
193,567.6875,680.25,907.0625,874,846.3125,866.75,118.241965900437,125.808054856065,194.07059497341,228.406654894292,142.317353708768,120.975204070917,0.3125,0.6875,1,0.875,1,1
194,395.625,432.9375,463.375,443.3125,501.4375,501.6875,66.4348051350595,112.07584857289,66.9346696413749,101.460480812318,142.655280893021,105.387993465416,0,0.0625,0.0625,0.0625,0.1875,0.1875
195,469.3125,460.4375,461.0625,493.75,477.6875,455.4375,68.0350093701765,38.8655267128424,57.8774207557086,53.2997811127463,59.6408347247644,41.4390616850012,0.0625,0,0,0.0625,0.0625,0
196,512.625,512.4375,539.6875,440.3125,462.4375,495.6875,78.2925070914622,101.45998800841,138.221907935513,195.137803872033,64.8238317801923,67.7177660096177,0.125,0.0625,0.125,0.125,0,0.0625
197,546.8125,486.8125,489.1875,487.5625,458.4375,508.3125,83.3756309321455,69.7043458712104,56.2414067510169,36.8907734625701,42.5972906024159,43.8812317511712,0.3125,0,0,0,0,0
198,547.4375,452.5,532.5,493.625,470.75,587.25,129.144347534067,229.327713109428,146.881358018413,232.709511336917,179.708838588052,124.296151723749,0.25,0.1875,0.125,0.375,0.1875,0.25
199,469.8125,487.375,512.9375,531.3125,555.6875,441.5625,74.3516139703773,76.8946248663282,96.6115719431856,66.8617666034434,270.715771920785,50.451255352733,0.0625,0.125,0.25,0.125,0.125,0
200,533.75,562.5625,479.9375,444.125,529.1875,515.0625,76.8179666484345,166.627716281936,129.927399599417,129.234089929863,154.129044959086,81.560994558265,0.125,0.1875,0.1875,0.0625,0.3125,0.125
201,453.625,388.9375,454.125,480.625,471.8125,478.9375,101.68177483371,84.4341706104031,95.3672725135131,141.935607465733,143.581901714666,117.341932686771,0.0625,0,0.125,0.0625,0.0625,0.0625
202,473.4375,470.4375,508.1875,496.25,482.4375,485.1875,37.7270349572646,30.5657079093549,93.0019489043106,34.6169515314872,36.9449477827032,36.697354582222,0,0,0.125,0,0,0
203,451.875,454.125,433,456.1875,446.0625,483.0625,58.2556148939024,36.5474577319226,46.503046495185,62.1623881458877,50.1297898792059,78.726081023593,0,0,0,0,0,0.0625
204,448,501.1875,561.75,510.75,605.75,659.6875,74.7145679681457,82.0375676138682,81.3375681957606,235.076583265965,102.669372258722,295.607333862564,0,0.0625,0.3125,0.375,0.5,0.5625
205,491.3125,549.625,486.125,606.6875,482,591.8125,88.3679570508073,199.952952799736,171.235072342088,146.059220295513,225.412806498063,155.09963195744,0.125,0.1875,0.25,0.5625,0.1875,0.4375
206,466.75,447.875,640.125,492.125,539.5625,528.4375,69.8689248998914,71.5577855070059,216.1933933619,190.49055094676,92.6728789884074,156.253626624579,0,0,0.3125,0.25,0.1875,0.3125
207,506.4375,505.375,468.5625,483.1875,492,491.0625,36.6278013718177,57.1977563662539,38.9272291162197,40.8676216582272,62.9052197092313,74.9973055071536,0,0.0625,0,0,0.0625,0.0625
208,527.4375,491.9375,455.25,455.75,436.3125,435.6875,50.2194766334072,44.1534728720932,46.2695003935278,41.9181742604963,39.867645612284,58.2931885672188,0.0625,0,0,0,0,0
209,393,432.4375,423,427.625,431,437.0625,58.8840668885339,29.5386046838145,45.570458267025,32.5287052719082,63.3129791854193,41.7827217080617,0,0,0,0,0,0
210,485.25,497.9375,497,525.0625,518,550.375,42.0531409845527,40.1521585139994,59.8331012066064,36.6196099560513,47.1140460301738,68.6419453881274,0,0,0,0,0.0625,0.125
211,486.375,517.75,471.0625,458.4375,473.5,441.6875,43.1429793438824,101.630376036564,55.1657729031326,53.2953640885709,72.6571859258715,48.9199601389862,0.0625,0.125,0.0625,0,0.0625,0
212,535.8125,668,578.5,573.4375,666,632.25,176.580564710087,139.433138098517,202.508600640401,80.9691041900139,148.207062359839,227.170273876961,0.375,0.5625,0.4375,0.375,0.5625,0.375
213,473.0625,528.3125,532.4375,562.5625,579.3125,557.625,61.9402601974946,111.900383526301,73.3566345556647,110.34066566774,101.556367763589,131.516728973922,0.0625,0.125,0.125,0.25,0.3125,0.375
214,430,448.5,440.125,425.875,493.75,618.4375,40.7790796038034,59.8921252475371,40.0514252763452,53.1850542915959,83.3350666486404,248.125228799223,0,0.0625,0,0,0.125,0.3125
215,434.25,399.4375,415.8125,409.5625,431.4375,413.75,44.5174123237189,42.4216434539414,36.3028350591704,30.0043746810361,77.2588452325471,34.9904748943671,0,0,0,0,0.0625,0
216,501.6875,448.1875,508.625,570.625,528.4375,575.1875,62.6862225692376,46.1247854556889,85.9820717746826,102.936792903866,86.5971275505141,152.395633686358,0.0625,0,0.1875,0.4375,0.125,0.375
217,538.1875,532.4375,518.375,504.8125,556.125,480.375,61.1077941018983,95.0985234725895,49.442053625094,46.6765019397698,87.0585052325925,107.7892233327,0.0625,0.1875,0.0625,0.0625,0.1875,0.0625
218,510.625,509.0625,482.4375,493.0625,499.25,462.25,46.0606484250204,40.0873525358477,39.1441247187876,63.8628413085419,35.100807208192,88.3851420394476,0,0,0,0.0625,0,0.0625
220,479.4375,482.625,473.125,492.9375,491.5625,521.9375,76.7810469234867,91.7015994044451,46.9863455342791,68.2285069942665,32.7332017987853,61.8088113998859,0.0625,0.125,0,0.0625,0,0.0625
221,460.6875,501.4375,441.3125,528,465.5625,451.1875,51.5399117189776,101.290321189473,66.4175867773991,94.3878523257451,69.7662466144386,49.7369329573105,0,0.0625,0.0625,0.1875,0.0625,0.0625
222,395.125,472.125,449.8125,463.625,546.375,464.9375,62.5671639120713,81.2903233273596,283.69542793872,353.672518016314,603.591790865317,244.50207054338,0,0.125,0.375,0.4375,0.6875,0.125
223,559.3125,530.625,660.8125,663.5625,788.875,695.6875,54.057646699303,123.94077886905,183.684228591715,150.941917637216,160.546514547446,262.834223735545,0.25,0.25,0.5625,0.6875,0.875,0.75
224,506.5,582.625,554.8125,548.875,548.5625,502.1875,67.9264307909668,136.347044950254,196.093249501353,123.446547136807,181.08449915256,58.676762862312,0.0625,0.1875,0.1875,0.125,0.125,0.0625
225,446.3125,446,443.125,452.75,431.25,420.25,72.4069230115463,30.6224318651105,40.4868291340941,38.7220867206301,52.224515316085,84.4460379966599,0,0,0,0,0,0.0625
226,534.75,551.8125,599.125,574.1875,593.4375,698.8125,67.486788830605,78.1001227058362,85.9789702970054,125.904841712567,78.8956853488622,102.364849924181,0.125,0.1875,0.375,0.1875,0.5,0.875
227,508.5625,488.6875,492.125,457.25,552.3125,518.6875,29.1272352504204,27.3391508036857,59.5403224714143,64.853167488823,77.5334067784118,58.8882769884352,0,0,0.0625,0,0.125,0.125
